"","tract","hhs","medhhinc","civpop","prophealth"
"2","Census Tract 101; Cook County; Illinois",2322,68196,4183,0.85
"3","Census Tract 102.01; Cook County; Illinois",3028,61071,8200,0.897
"4","Census Tract 102.02; Cook County; Illinois",1223,58698,2588,0.804
"5","Census Tract 103; Cook County; Illinois",3047,68336,5329,0.793
"6","Census Tract 104; Cook County; Illinois",2058,48630,4473,0.908
"7","Census Tract 105.01; Cook County; Illinois",2417,47858,3913,0.924
"8","Census Tract 105.02; Cook County; Illinois",1582,55813,3407,0.881
"9","Census Tract 105.03; Cook County; Illinois",1315,18750,2417,0.967
"10","Census Tract 106; Cook County; Illinois",2943,66313,6225,0.87
"11","Census Tract 107.01; Cook County; Illinois",1603,70542,3590,0.829
"12","Census Tract 107.02; Cook County; Illinois",1915,52193,5138,0.876
"13","Census Tract 201; Cook County; Illinois",1679,57029,3927,0.824
"14","Census Tract 202; Cook County; Illinois",1989,117005,7203,0.848
"15","Census Tract 203.01; Cook County; Illinois",2215,73539,5429,0.91
"16","Census Tract 203.02; Cook County; Illinois",1736,84205,4851,0.944
"17","Census Tract 204; Cook County; Illinois",1669,76607,4247,0.781
"18","Census Tract 205; Cook County; Illinois",2221,43948,6410,0.802
"19","Census Tract 206.01; Cook County; Illinois",2058,61046,5866,0.917
"20","Census Tract 206.02; Cook County; Illinois",1602,83839,5338,0.853
"21","Census Tract 207.01; Cook County; Illinois",764,92024,1727,0.95
"22","Census Tract 207.02; Cook County; Illinois",2483,68897,8260,0.949
"23","Census Tract 208.01; Cook County; Illinois",2175,71953,5990,0.829
"24","Census Tract 208.02; Cook County; Illinois",2131,62212,8708,0.816
"25","Census Tract 209.01; Cook County; Illinois",2197,50243,6179,0.765
"26","Census Tract 209.02; Cook County; Illinois",1597,49432,4069,0.884
"27","Census Tract 301.01; Cook County; Illinois",2047,50696,3517,0.912
"28","Census Tract 301.02; Cook County; Illinois",1878,55067,3034,0.916
"29","Census Tract 301.03; Cook County; Illinois",1030,53684,2297,0.906
"30","Census Tract 301.04; Cook County; Illinois",991,45865,3106,0.919
"31","Census Tract 302; Cook County; Illinois",2575,91406,5546,0.85
"32","Census Tract 303; Cook County; Illinois",1490,64662,3609,0.868
"33","Census Tract 304; Cook County; Illinois",1278,97143,2822,0.883
"34","Census Tract 305; Cook County; Illinois",2983,109375,6206,0.9
"35","Census Tract 306.01; Cook County; Illinois",1883,51808,3582,0.934
"36","Census Tract 306.03; Cook County; Illinois",1360,54300,2305,0.897
"37","Census Tract 306.04; Cook County; Illinois",2109,49816,2921,0.954
"38","Census Tract 307.01; Cook County; Illinois",877,47614,1346,0.907
"39","Census Tract 307.02; Cook County; Illinois",1514,69050,2266,0.932
"40","Census Tract 307.03; Cook County; Illinois",1914,56667,3093,0.949
"41","Census Tract 307.06; Cook County; Illinois",1882,54143,2588,0.982
"42","Census Tract 308; Cook County; Illinois",2167,96069,4089,0.959
"43","Census Tract 309; Cook County; Illinois",1481,102309,3076,0.957
"44","Census Tract 310; Cook County; Illinois",1984,121026,3639,0.923
"45","Census Tract 311; Cook County; Illinois",2861,79010,4816,0.939
"46","Census Tract 312; Cook County; Illinois",3457,24389,5658,0.841
"47","Census Tract 313; Cook County; Illinois",4502,64598,6435,0.878
"48","Census Tract 314; Cook County; Illinois",3087,82526,4537,0.949
"49","Census Tract 315.01; Cook County; Illinois",1996,48889,4607,0.924
"50","Census Tract 315.02; Cook County; Illinois",2445,47188,4620,0.831
"51","Census Tract 317; Cook County; Illinois",3107,84766,6012,0.94
"52","Census Tract 318; Cook County; Illinois",1041,80873,2114,0.923
"53","Census Tract 319; Cook County; Illinois",1338,93864,2417,0.961
"54","Census Tract 321; Cook County; Illinois",4207,69313,7135,0.901
"55","Census Tract 401; Cook County; Illinois",1875,93576,3874,0.955
"56","Census Tract 402.01; Cook County; Illinois",3012,99624,6682,0.945
"57","Census Tract 402.02; Cook County; Illinois",2908,58293,7804,0.768
"58","Census Tract 403; Cook County; Illinois",1149,86979,2988,0.863
"59","Census Tract 404.01; Cook County; Illinois",1469,107083,3431,0.938
"60","Census Tract 404.02; Cook County; Illinois",2533,94132,4556,0.933
"61","Census Tract 406; Cook County; Illinois",1283,97596,2785,0.917
"62","Census Tract 407; Cook County; Illinois",1676,105400,3749,0.958
"63","Census Tract 408; Cook County; Illinois",768,105500,1551,0.961
"64","Census Tract 409; Cook County; Illinois",1167,79803,2006,0.87
"65","Census Tract 501; Cook County; Illinois",1160,123929,2513,0.959
"66","Census Tract 502; Cook County; Illinois",2061,138546,5546,0.976
"67","Census Tract 503; Cook County; Illinois",1086,163625,2829,0.965
"68","Census Tract 505; Cook County; Illinois",1996,142548,5199,0.971
"69","Census Tract 506; Cook County; Illinois",1151,109188,2232,0.985
"70","Census Tract 507; Cook County; Illinois",671,125438,1456,0.927
"71","Census Tract 508; Cook County; Illinois",513,172888,1398,0.989
"72","Census Tract 509; Cook County; Illinois",608,130769,1388,0.972
"73","Census Tract 510; Cook County; Illinois",718,180500,1707,0.989
"74","Census Tract 511; Cook County; Illinois",727,159145,1905,0.973
"75","Census Tract 512; Cook County; Illinois",637,166771,1523,0.96
"76","Census Tract 513; Cook County; Illinois",1072,218403,3077,0.997
"77","Census Tract 514; Cook County; Illinois",1029,154044,2527,0.939
"78","Census Tract 601; Cook County; Illinois",1273,135272,3178,0.977
"79","Census Tract 602; Cook County; Illinois",1140,89167,2147,0.959
"80","Census Tract 603; Cook County; Illinois",1181,140125,2821,0.991
"81","Census Tract 604; Cook County; Illinois",1613,162011,3691,0.985
"82","Census Tract 605; Cook County; Illinois",695,54250,1287,0.971
"83","Census Tract 608; Cook County; Illinois",3598,81156,5319,0.947
"84","Census Tract 609; Cook County; Illinois",4795,83601,6943,0.939
"85","Census Tract 610; Cook County; Illinois",1109,127872,2324,0.988
"86","Census Tract 611; Cook County; Illinois",724,108158,1436,0.929
"87","Census Tract 612; Cook County; Illinois",869,109479,2052,0.967
"88","Census Tract 615; Cook County; Illinois",894,133000,2023,0.972
